Intensity Level	Blue	Green	Red
=====================================
0              	4798	7	6758      
1              	2185	30	9265      
2              	3138	64	12087     
3              	5598	135	14160     
4              	10068	297	19693     
5              	15058	798	24467     
6              	22276	2889	26608     
7              	31183	5960	30100     
8              	41071	9220	40816     
9              	54523	13372	50203     
10             	72555	21562	58815     
11             	93087	29683	72806     
12             	108009	38115	93011     
13             	115496	56669	106902    
14             	121126	73889	111265    
15             	121860	79309	103413    
16             	118343	83431	97282     
17             	112977	87068	99334     
18             	117310	96493	103463    
19             	127431	101752	104908    
20             	139872	97990	102683    
21             	151510	90027	101946    
22             	159439	85276	101100    
23             	163793	83405	102200    
24             	164408	87314	103919    
25             	167120	106143	103907    
26             	168673	137456	108262    
27             	167520	154761	111001    
28             	164661	147874	103865    
29             	161518	142622	97134     
30             	160617	131821	96253     
31             	160165	116405	91409     
32             	160360	102739	88845     
33             	163997	88568	81369     
34             	176244	78793	72404     
35             	193987	73316	65523     
36             	204705	71192	61647     
37             	214150	69689	59181     
38             	223301	65005	56679     
39             	233062	54634	53744     
40             	242172	50081	51123     
41             	252053	49139	49178     
42             	263902	49459	47961     
43             	274565	48163	47702     
44             	286135	48835	47943     
45             	297262	48693	47476     
46             	310736	45413	48699     
47             	321480	41785	47997     
48             	331900	38735	47254     
49             	342464	35613	46192     
50             	351581	34059	45238     
51             	358954	32874	44717     
52             	366904	31581	44657     
53             	371401	30480	44397     
54             	374985	29995	45029     
55             	377353	29392	46108     
56             	377308	29100	46897     
57             	377009	28659	48647     
58             	376493	28800	49870     
59             	374327	28854	51718     
60             	371548	28851	53807     
61             	367270	28743	55259     
62             	363222	28992	57112     
63             	356229	28913	59591     
64             	349166	29123	61089     
65             	341660	29027	63709     
66             	335811	29473	65982     
67             	326652	30105	68390     
68             	319798	30243	70900     
69             	310742	30706	74127     
70             	303419	31169	78207     
71             	294387	31555	82452     
72             	287128	32072	87623     
73             	277599	32301	93883     
74             	270269	33226	100212    
75             	262365	33510	105256    
76             	255289	33825	111126    
77             	247383	34513	116988    
78             	242094	35495	122000    
79             	235764	37113	127833    
80             	229853	37770	134049    
81             	223116	38766	140807    
82             	217232	40874	148265    
83             	213133	42451	155473    
84             	206697	45000	163318    
85             	202332	47019	170703    
86             	196998	50118	178547    
87             	192327	53824	188476    
88             	187193	56884	198695    
89             	183343	59358	207942    
90             	179499	62785	217460    
91             	177135	65483	227465    
92             	175447	69365	236404    
93             	174063	74528	245610    
94             	173310	79350	258407    
95             	171011	85785	268730    
96             	170561	92116	277940    
97             	167748	98510	287533    
98             	164609	105392	294863    
99             	161617	113053	301593    
100            	158516	122162	308248    
101            	154438	133940	313860    
102            	150886	146651	319427    
103            	148665	160670	325851    
104            	146010	173206	330316    
105            	143874	187107	337570    
106            	141878	201020	341185    
107            	139558	213712	345562    
108            	136699	228074	351073    
109            	134392	239558	365261    
110            	131151	251812	398081    
111            	131217	264273	446518    
112            	128610	276301	514711    
113            	127737	290028	654420    
114            	124999	303744	830477    
115            	124692	315387	974464    
116            	123992	332781	1041406   
117            	121727	342350	1063198   
118            	120751	354919	1059433   
119            	119997	366511	1009955   
120            	121078	375908	929772    
121            	119261	385502	841249    
122            	117600	390884	765424    
123            	117030	400255	703900    
124            	118045	410927	640346    
125            	116735	417446	612212    
126            	115596	424231	618049    
127            	117926	429947	632822    
128            	120078	433262	632542    
129            	123331	438357	626255    
130            	117538	435175	598478    
131            	114778	428665	574435    
132            	110339	419598	555798    
133            	105199	412023	555764    
134            	101532	399782	558374    
135            	95298	384805	562433    
136            	87084	369630	583336    
137            	76947	359353	645432    
138            	70115	352704	757000    
139            	64969	346662	863024    
140            	61358	344921	906358    
141            	58421	344047	876107    
142            	56389	338187	824992    
143            	54583	327176	746318    
144            	52397	309354	689010    
145            	50462	293653	662009    
146            	49103	279850	627307    
147            	47846	271546	585633    
148            	46918	263266	551879    
149            	46674	265567	547975    
150            	46513	275528	575582    
151            	45703	307190	610106    
152            	44221	360995	599538    
153            	41914	469577	594011    
154            	38941	664652	575025    
155            	37531	818585	527837    
156            	35013	885446	490340    
157            	32277	895785	477612    
158            	31055	891525	492569    
159            	31242	867617	501831    
160            	33482	830126	507783    
161            	33712	760878	508535    
162            	36889	696537	510606    
163            	41041	643541	490796    
164            	40953	597294	471454    
165            	36371	573723	433858    
166            	30110	565051	394454    
167            	24336	556618	394352    
168            	21551	548006	426901    
169            	19303	547993	461057    
170            	17047	533231	488659    
171            	15440	511638	497141    
172            	14141	497787	459238    
173            	13055	481068	427927    
174            	12397	447564	422783    
175            	11610	420564	423778    
176            	10993	433234	423974    
177            	10670	490836	394898    
178            	10132	601735	369733    
179            	9816	732818	355869    
180            	9798	810472	362324    
181            	9497	808313	359002    
182            	9546	771052	340459    
183            	9246	738952	299255    
184            	9198	673627	304103    
185            	8748	606130	317632    
186            	8630	565559	279463    
187            	8591	533724	228113    
188            	8488	532379	191855    
189            	8513	626210	166194    
190            	8534	691902	170683    
191            	8444	640169	176866    
192            	8429	566743	162735    
193            	8495	522878	157471    
194            	8439	480329	155416    
195            	8311	469532	155781    
196            	8273	466299	139736    
197            	8494	486579	122938    
198            	8572	504582	118061    
199            	8984	501858	100505    
200            	9944	491752	88724     
201            	12572	495432	80267     
202            	20704	525146	73449     
203            	46111	524774	72644     
204            	104132	484473	72015     
205            	238331	473815	70607     
206            	462125	522237	66161     
207            	651378	595811	64015     
208            	737691	599440	60867     
209            	761840	552541	57105     
210            	776486	468001	55470     
211            	782288	437293	54035     
212            	759841	492370	53052     
213            	702225	508197	52084     
214            	640653	462031	51889     
215            	580319	426075	49263     
216            	556062	362695	51379     
217            	563089	302231	55345     
218            	580351	252028	56664     
219            	562851	211753	58793     
220            	546892	196950	62386     
221            	553039	184523	62337     
222            	589630	153534	63616     
223            	646901	134350	62340     
224            	746441	130813	59594     
225            	895050	99570	60246     
226            	1003990	80553	56651     
227            	1041611	80345	52783     
228            	968524	82722	46682     
229            	861510	83828	46576     
230            	808890	78947	49586     
231            	818008	76158	51815     
232            	872512	75610	56389     
233            	939591	71733	55433     
234            	917273	67529	55860     
235            	833620	69242	62241     
236            	779477	76019	62377     
237            	809576	72147	62706     
238            	860260	71835	60940     
239            	901782	70706	54423     
240            	920848	71383	44259     
241            	948100	70400	40969     
242            	1047551	65027	44888     
243            	1180576	69967	58472     
244            	1236468	56964	55449     
245            	1144882	56251	54195     
246            	862815	45080	37565     
247            	546537	52787	41410     
248            	371361	39680	36423     
249            	253198	32672	34862     
250            	172622	31831	37235     
251            	142075	36171	31665     
252            	118789	35954	27227     
253            	169159	42660	33196     
254            	138890	92988	41770     
255            	825246	501779	615454    
