Intensity Level	Blue	Green	Red
=====================================
0              	14206	2	37        
1              	9253	7	66        
2              	7793	41	81        
3              	8251	83	116       
4              	9729	170	185       
5              	13078	328	318       
6              	18933	530	480       
7              	30058	664	753       
8              	47922	741	1019      
9              	73887	703	1489      
10             	105046	578	2074      
11             	143057	626	2773      
12             	181399	721	3750      
13             	212122	1021	4767      
14             	240542	1685	6497      
15             	270314	3370	9750      
16             	306663	6896	15010     
17             	337237	14603	25508     
18             	354275	29784	42618     
19             	342927	56734	65585     
20             	301128	98409	85715     
21             	254223	141807	100422    
22             	207710	175058	114413    
23             	164949	199296	132240    
24             	130350	221294	151060    
25             	106025	247842	172653    
26             	88949	286939	202831    
27             	73883	330810	233568    
28             	59716	354019	256411    
29             	45857	340578	273762    
30             	35223	307517	289419    
31             	27717	258524	289768    
32             	23844	204729	270904    
33             	21481	152417	240717    
34             	20755	114475	206698    
35             	19775	89564	171619    
36             	19249	75450	141593    
37             	18581	69190	117221    
38             	17914	60819	95726     
39             	17535	46953	79528     
40             	16981	33447	67999     
41             	16467	24663	54049     
42             	16076	19747	42515     
43             	15580	17430	32590     
44             	16219	16162	26340     
45             	16061	15323	23510     
46             	16314	15392	21468     
47             	16316	15733	20591     
48             	16414	15887	19785     
49             	16366	15941	18707     
50             	16328	15785	18808     
51             	15983	15549	19104     
52             	15752	15667	20046     
53             	16046	15349	21913     
54             	16484	15576	22176     
55             	15991	16820	21763     
56             	15425	17987	20861     
57             	14443	18612	19885     
58             	13977	18110	20066     
59             	13358	17666	20486     
60             	13140	17173	20858     
61             	12566	16690	21254     
62             	12092	16469	20529     
63             	12213	16703	19505     
64             	11865	16155	18507     
65             	11924	16215	18365     
66             	11903	16183	17470     
67             	11579	16026	16947     
68             	11679	15743	15974     
69             	11903	14849	16127     
70             	11945	14901	15839     
71             	11240	14524	15170     
72             	11199	14168	15233     
73             	10791	13917	15295     
74             	10348	13697	15536     
75             	10449	13161	15028     
76             	9953	13441	14758     
77             	9847	13644	14573     
78             	9792	13357	14305     
79             	9932	13297	13868     
80             	9980	13263	14311     
81             	10353	13864	13914     
82             	10105	13235	12847     
83             	10293	13035	12797     
84             	10167	13060	12900     
85             	10285	13380	12514     
86             	10325	13191	12341     
87             	9721	12983	11791     
88             	9562	12838	12309     
89             	9197	12213	12360     
90             	8863	12415	12300     
91             	8864	11828	12305     
92             	9149	11858	12057     
93             	9471	11570	11431     
94             	9811	11462	11474     
95             	10107	11844	11767     
96             	10051	11708	12221     
