Intensity Level	Blue	Green	Red
=====================================
0              	22	22	22        
1              	51	51	51        
2              	45	45	45        
3              	23	23	23        
4              	34	34	34        
5              	24	24	24        
6              	33	33	33        
7              	30	30	30        
8              	60	60	60        
9              	75	75	75        
10             	124	124	124       
11             	141	141	141       
12             	158	158	158       
13             	192	192	192       
14             	228	228	228       
15             	251	251	251       
16             	286	286	286       
17             	245	245	245       
18             	214	214	214       
19             	245	245	245       
20             	254	254	254       
21             	260	260	260       
22             	240	240	240       
23             	228	228	228       
24             	263	263	263       
25             	240	240	240       
26             	249	249	249       
27             	255	255	255       
28             	301	301	301       
29             	284	284	284       
30             	334	334	334       
31             	296	296	296       
32             	298	298	298       
33             	366	366	366       
34             	384	384	384       
35             	329	329	329       
36             	307	307	307       
37             	391	391	391       
38             	432	432	432       
39             	459	459	459       
40             	511	511	511       
41             	520	520	520       
42             	657	657	657       
43             	728	728	728       
44             	640	640	640       
45             	678	678	678       
46             	666	666	666       
47             	636	636	636       
48             	705	705	705       
49             	732	732	732       
50             	776	776	776       
51             	745	745	745       
52             	826	826	826       
53             	754	754	754       
54             	862	862	862       
55             	860	860	860       
56             	828	828	828       
57             	731	731	731       
58             	1006	1006	1006      
59             	943	943	943       
60             	888	888	888       
61             	1104	1104	1104      
62             	1151	1151	1151      
63             	1183	1183	1183      
64             	1496	1496	1496      
65             	1390	1390	1390      
66             	1365	1365	1365      
67             	1239	1239	1239      
68             	1222	1222	1222      
69             	1416	1416	1416      
70             	1290	1290	1290      
71             	1169	1169	1169      
72             	1092	1092	1092      
73             	1188	1188	1188      
74             	1145	1145	1145      
75             	1059	1059	1059      
76             	1040	1040	1040      
77             	972	972	972       
78             	972	972	972       
79             	1005	1005	1005      
80             	934	934	934       
81             	942	942	942       
82             	1014	1014	1014      
83             	986	986	986       
84             	1003	1003	1003      
85             	1086	1086	1086      
86             	1037	1037	1037      
87             	888	888	888       
88             	897	897	897       
89             	777	777	777       
90             	799	799	799       
91             	767	767	767       
92             	799	799	799       
93             	845	845	845       
94             	759	759	759       
95             	716	716	716       
96             	757	757	757       
97             	661	661	661       
98             	746	746	746       
99             	800	800	800       
100            	837	837	837       
101            	778	778	778       
102            	836	836	836       
103            	763	763	763       
104            	769	769	769       
105            	802	802	802       
106            	862	862	862       
107            	890	890	890       
108            	967	967	967       
109            	997	997	997       
110            	1020	1020	1020      
111            	1216	1216	1216      
112            	1266	1266	1266      
113            	1347	1347	1347      
114            	1226	1226	1226      
115            	1305	1305	1305      
116            	1348	1348	1348      
117            	1225	1225	1225      
118            	1299	1299	1299      
119            	1289	1289	1289      
120            	1270	1270	1270      
121            	1369	1369	1369      
122            	1419	1419	1419      
123            	1455	1455	1455      
124            	1527	1527	1527      
125            	1483	1483	1483      
126            	1480	1480	1480      
127            	1311	1311	1311      
128            	1204	1204	1204      
129            	1155	1155	1155      
130            	1063	1063	1063      
131            	1116	1116	1116      
132            	1174	1174	1174      
133            	1130	1130	1130      
134            	1046	1046	1046      
135            	1060	1060	1060      
136            	1050	1050	1050      
137            	935	935	935       
138            	957	957	957       
139            	912	912	912       
140            	1019	1019	1019      
141            	944	944	944       
142            	902	902	902       
143            	769	769	769       
144            	816	816	816       
145            	836	836	836       
146            	842	842	842       
147            	746	746	746       
148            	735	735	735       
149            	777	777	777       
150            	782	782	782       
151            	792	792	792       
152            	759	759	759       
153            	758	758	758       
154            	790	790	790       
155            	818	818	818       
156            	734	734	734       
157            	680	680	680       
158            	744	744	744       
159            	741	741	741       
160            	771	771	771       
161            	750	750	750       
162            	691	691	691       
163            	676	676	676       
164            	708	708	708       
165            	685	685	685       
166            	725	725	725       
167            	718	718	718       
168            	706	706	706       
169            	654	654	654       
170            	658	658	658       
171            	706	706	706       
172            	650	650	650       
173            	627	627	627       
174            	653	653	653       
175            	702	702	702       
176            	666	666	666       
177            	675	675	675       
178            	681	681	681       
179            	689	689	689       
180            	687	687	687       
181            	660	660	660       
182            	604	604	604       
183            	591	591	591       
184            	584	584	584       
185            	598	598	598       
186            	565	565	565       
187            	566	566	566       
188            	579	579	579       
189            	556	556	556       
190            	509	509	509       
191            	499	499	499       
192            	501	501	501       
193            	505	505	505       
194            	472	472	472       
195            	504	504	504       
196            	493	493	493       
197            	461	461	461       
198            	461	461	461       
199            	464	464	464       
200            	415	415	415       
201            	457	457	457       
202            	456	456	456       
203            	470	470	470       
204            	445	445	445       
205            	455	455	455       
206            	441	441	441       
207            	437	437	437       
208            	502	502	502       
209            	481	481	481       
210            	488	488	488       
211            	549	549	549       
212            	473	473	473       
213            	503	503	503       
214            	476	476	476       
215            	484	484	484       
216            	467	467	467       
217            	509	509	509       
218            	411	411	411       
219            	468	468	468       
220            	467	467	467       
221            	481	481	481       
222            	486	486	486       
223            	486	486	486       
224            	598	598	598       
225            	545	545	545       
226            	561	561	561       
227            	640	640	640       
228            	623	623	623       
229            	572	572	572       
230            	580	580	580       
231            	617	617	617       
232            	603	603	603       
233            	645	645	645       
234            	607	607	607       
235            	596	596	596       
236            	570	570	570       
237            	568	568	568       
238            	482	482	482       
239            	441	441	441       
240            	434	434	434       
241            	440	440	440       
242            	371	371	371       
243            	367	367	367       
244            	341	341	341       
245            	358	358	358       
246            	313	313	313       
247            	314	314	314       
248            	224	224	224       
249            	244	244	244       
250            	266	266	266       
251            	200	200	200       
252            	233	233	233       
253            	201	201	201       
254            	194	194	194       
255            	203	203	203       
