Intensity Level	Blue	Green	Red
=====================================
0              	5231	2	27        
1              	2225	5	24        
2              	1994	17	37        
3              	2269	29	37        
4              	2769	46	67        
5              	3739	101	106       
6              	5476	134	169       
7              	8772	181	216       
8              	13608	192	310       
9              	20319	169	411       
10             	27844	156	571       
11             	37313	186	793       
12             	46486	219	1047      
13             	53086	396	1281      
14             	60150	628	1849      
15             	67617	1244	2697      
16             	77212	2287	4337      
17             	83797	4702	7256      
18             	87893	9097	11964     
19             	83759	16741	17771     
20             	73261	27400	22574     
21             	61488	37221	25951     
22             	50158	44316	29576     
23             	40039	50217	34202     
24             	31703	55118	38410     
25             	26177	61408	43671     
26             	22051	71464	51305     
27             	18048	82915	58541     
28             	14722	88455	64038     
29             	11232	84301	68068     
30             	8700	74913	72109     
31             	6897	62212	71788     
32             	6030	48841	66239     
33             	5422	36360	58641     
34             	5219	27841	50148     
35             	4931	22101	41649     
36             	4837	18874	34529     
37             	4478	17402	28476     
38             	4431	14825	23343     
39             	4426	11566	19490     
40             	4266	8239	16652     
41             	4094	6200	13312     
42             	4053	4935	10394     
43             	3918	4390	8161      
44             	4064	4079	6569      
45             	3941	3821	5927      
46             	4146	3942	5335      
47             	4069	4003	5211      
48             	4071	3936	4982      
49             	4173	4026	4781      
50             	4070	3915	4747      
51             	3989	3977	4852      
52             	3887	3882	4978      
53             	4046	3901	5470      
54             	4090	3914	5466      
55             	3915	4151	5507      
56             	3828	4563	5135      
57             	3634	4570	4929      
58             	3479	4545	5080      
59             	3341	4366	5144      
60             	3377	4369	5162      
61             	3166	4208	5253      
62             	2973	4122	5136      
63             	3078	4171	4862      
64             	2919	4041	4633      
65             	2877	4053	4470      
66             	3071	3994	4378      
67             	2870	4008	4162      
68             	2933	3892	3988      
69             	3034	3655	4070      
70             	2894	3707	3920      
71             	2841	3710	3782      
72             	2766	3512	3774      
73             	2719	3464	3775      
74             	2540	3462	3889      
75             	2555	3207	3760      
76             	2541	3451	3775      
77             	2431	3349	3651      
78             	2461	3349	3558      
79             	2473	3307	3442      
80             	2456	3277	3488      
81             	2539	3457	3398      
82             	2542	3258	3231      
83             	2588	3245	3159      
84             	2595	3295	3242      
85             	2503	3293	3145      
86             	2499	3256	3057      
87             	2388	3325	2946      
88             	2395	3115	3129      
89             	2348	3016	3093      
90             	2190	3086	3065      
91             	2234	2957	3056      
92             	2283	2959	3005      
93             	2371	2863	2866      
94             	2404	2916	2878      
95             	2627	2942	2988      
96             	2514	2875	3024      
97             	2473	2828	3079      
98             	2473	2811	3004      
99             	2575	2636	2895      
100            	2630	2688	2649      
101            	2455	2730	2597      
102            	2543	2788	2719      
103            	2511	2743	3089      
104            	2483	2698	3448      
105            	2644	2627	3386      
106            	2794	2581	3327      
107            	2858	2457	3421      
108            	2920	2687	3288      
109            	3035	2756	3190      
110            	3247	3231	3240      
111            	3266	3538	3180      
112            	3433	3556	3270      
113            	3474	3410	3331      
114            	3679	3412	3522      
115            	3790	3495	3598      
116            	3514	3521	3759      
117            	3431	3591	4091      
118            	3379	3615	4095      
119            	3373	3855	4077      
120            	3458	3882	4388      
121            	3697	3977	4400      
122            	3804	4015	4583      
123            	4057	4088	4661      
124            	4271	4061	5084      
125            	4263	4204	5606      
126            	4836	4373	6337      
127            	5538	4638	7078      
128            	6078	4954	7515      
129            	6668	5212	8220      
130            	7556	5876	8877      
131            	8417	6332	9314      
132            	9007	7025	9894      
133            	9930	7343	10742     
134            	10507	8188	11616     
135            	10883	8618	11658     
136            	10929	8751	11863     
137            	11076	9234	12514     
138            	11500	9410	12956     
139            	12086	10385	13413     
140            	13279	10913	14033     
141            	14045	11566	14604     
142            	13928	11861	16171     
143            	14175	12272	16686     
144            	15285	12743	16887     
145            	16237	13126	18616     
146            	18048	14004	20353     
147            	19823	15604	21080     
148            	21250	17153	21866     
149            	21231	17032	22542     
150            	21591	17448	22433     
151            	22736	18500	22452     
152            	23024	20752	23050     
153            	22700	21473	23480     
154            	23355	21889	23621     
155            	24260	22187	23607     
156            	24782	21283	23322     
157            	25258	20972	24956     
158            	25323	22096	26233     
159            	25669	22950	26270     
160            	28390	24467	27703     
161            	31983	24854	28648     
162            	35696	25088	30226     
163            	38352	25268	31680     
164            	44335	26548	34453     
165            	51739	27455	37912     
166            	59304	28600	43229     
167            	64144	29221	52970     
168            	75062	29654	64348     
169            	95888	31951	82677     
170            	121541	35881	99251     
171            	149286	39967	121054    
172            	140528	45209	144861    
173            	99074	51863	151625    
174            	80778	63396	127182    
175            	73524	82370	93848     
176            	67662	105721	79669     
177            	64029	122383	74028     
178            	64523	146661	72839     
179            	64526	149055	72579     
180            	62462	120325	72465     
181            	62078	97871	74641     
182            	64809	86448	76542     
183            	69985	79701	76493     
184            	71050	75236	72508     
185            	73050	73855	63094     
186            	69238	76377	41768     
187            	44602	77315	32823     
188            	31281	80218	29724     
189            	18988	88954	24106     
190            	10890	79020	13056     
191            	6622	45347	4195      
192            	2188	32366	1992      
193            	965	32153	1277      
194            	732	27016	1044      
195            	758	14099	1105      
196            	599	3888	1039      
197            	679	1550	1023      
198            	660	1360	1024      
199            	645	1277	935       
200            	674	1153	875       
201            	641	1173	930       
202            	639	1088	892       
203            	644	1153	866       
204            	631	1106	831       
205            	659	1036	762       
206            	575	1114	789       
207            	651	1078	750       
208            	617	1076	755       
209            	653	1102	768       
210            	645	1074	736       
211            	650	1088	648       
212            	661	1113	656       
213            	636	1082	703       
214            	616	1045	647       
215            	654	1008	596       
216            	607	982	636       
217            	705	888	597       
218            	661	896	579       
219            	629	843	545       
220            	648	818	542       
221            	699	771	525       
222            	691	715	491       
223            	697	671	465       
224            	670	652	429       
225            	660	643	428       
226            	675	586	382       
227            	704	561	387       
228            	756	533	347       
229            	754	523	325       
230            	736	502	337       
231            	746	479	298       
232            	817	472	314       
233            	789	490	302       
234            	796	437	277       
235            	790	393	264       
236            	859	400	294       
237            	836	384	258       
238            	797	394	265       
239            	769	363	230       
240            	794	363	229       
241            	792	350	252       
242            	755	317	244       
243            	847	292	270       
244            	713	301	231       
245            	707	271	237       
246            	712	251	204       
247            	653	223	222       
248            	732	199	266       
249            	689	207	279       
250            	721	195	282       
251            	789	206	260       
252            	689	237	298       
253            	877	275	322       
254            	719	457	590       
255            	3323	2848	1973      
